user serverEndGame createGame userEndGameConflict userCancelActiveGame serverEndGameConflict serverCancelActiveGame serverForceGameEnd session_count
user36 0.0 1.0 0.0 0.0 0.0 0.0 0.0 74
user37 0.0 1.0 0.0 0.0 0.0 0.0 0.0 147
user38 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user39 0.0 1.0 0.0 0.0 0.0 0.0 0.0 7
user40 0.0 1.0 0.0 0.0 0.0 0.0 0.0 10
user41 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user42 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user43 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user44 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user45 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user46 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user47 0.0 1.0 0.0 0.0 0.0 0.0 0.0 10
user48 0.0 1.0 0.0 0.0 0.0 0.0 0.0 6
user49 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user50 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user51 0.0 1.0 1.0 0.0 0.0 0.0 0.0 9
user52 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user53 0.0 1.0 0.0 0.0 0.0 0.0 0.0 5
user54 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user55 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user56 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user57 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user58 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user59 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user60 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user61 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user62 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user63 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user64 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user65 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user66 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user67 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user68 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user69 0.0 1.0 1.0 0.0 0.0 0.0 0.0 25
user70 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user71 0.0 1.0 0.0 0.0 0.0 0.0 0.0 8
user72 0.0 1.0 1.0 0.0 0.0 0.0 0.0 29
user73 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user74 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user75 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user76 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user77 0.0 1.0 0.0 0.0 0.0 0.0 0.0 26
user78 0.0 1.0 0.0 0.0 0.0 0.0 0.0 5
user79 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user80 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user81 0.0 1.0 0.0 0.0 0.0 0.0 0.0 4
user82 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user83 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user84 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user85 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user86 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user87 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user88 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user89 0.0 1.0 0.0 0.0 0.0 0.0 0.0 4
user90 0.0 1.0 0.0 0.0 0.0 0.0 0.0 48
user91 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user92 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user93 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user94 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user95 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user96 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user97 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user98 0.0 1.0 0.0 0.0 0.0 0.0 0.0 10
user99 0.0 1.0 0.0 0.0 0.0 0.0 0.0 4
user100 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user101 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user102 0.0 1.0 0.0 0.0 0.0 0.0 0.0 11
user103 0.0 1.0 0.0 0.0 0.0 0.0 0.0 16
user104 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user105 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user106 0.0 1.0 1.0 0.0 0.0 0.0 0.0 29
user107 0.0 1.0 0.0 1.0 0.0 0.0 0.0 171
user108 0.0 1.0 0.0 0.0 0.0 0.0 0.0 15
user109 0.0 1.0 0.0 0.0 0.0 0.0 0.0 4
user110 0.0 1.0 0.0 0.0 0.0 0.0 0.0 5
user111 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user112 0.0 1.0 0.0 0.0 0.0 0.0 0.0 17
user113 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user114 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user115 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user116 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user117 0.0 1.0 0.0 1.0 0.0 0.0 0.0 25
user118 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user119 0.0 1.0 0.0 0.0 0.0 0.0 0.0 7
user120 0.0 1.0 0.0 0.0 0.0 0.0 0.0 9
user121 0.0 1.0 0.0 0.0 0.0 0.0 0.0 5
user122 0.0 1.0 0.0 1.0 0.0 0.0 0.0 20
user123 0.0 1.0 0.0 0.0 0.0 0.0 0.0 6
user124 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user125 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user126 0.0 1.0 0.0 1.0 0.0 0.0 0.0 4
user127 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user128 0.0 1.0 0.0 0.0 0.0 0.0 0.0 6
user129 0.0 1.0 0.0 1.0 0.0 0.0 0.0 8
user130 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user131 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user132 0.0 1.0 0.0 0.0 0.0 0.0 0.0 4
user133 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user134 0.0 1.0 0.0 0.0 0.0 0.0 0.0 5
user135 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user136 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user137 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user138 0.0 1.0 0.0 0.0 0.0 0.0 0.0 4
user139 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user140 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user141 0.0 1.0 0.0 0.0 0.0 0.0 0.0 23
user142 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user143 0.0 1.0 0.0 0.0 0.0 0.0 0.0 5
user144 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user145 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user146 0.0 1.0 0.0 0.0 0.0 0.0 0.0 7
user147 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user148 0.0 1.0 0.0 0.0 0.0 0.0 0.0 27
user149 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user150 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user151 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user152 0.0 1.0 0.0 0.0 0.0 0.0 0.0 9
user153 0.0 1.0 0.0 0.0 0.0 0.0 0.0 4
user154 0.0 1.0 0.0 0.0 0.0 0.0 0.0 5
user155 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user156 0.0 1.0 0.0 0.0 0.0 0.0 0.0 4
user157 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user158 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
