user withdrawHeroToAssetOwnerByAdmin mintHero depositHeroToGateway session_count
user182 0.0 0.0 1.0 6
user183 0.0 0.0 1.0 3
user342 0.0 0.0 1.0 16
user184 0.0 0.0 1.0 11
user775 0.0 0.0 1.0 7
user185 0.0 0.0 1.0 3
user186 0.0 0.0 1.0 10
user187 0.0 0.0 1.0 6
user188 0.0 0.0 1.0 6
user190 0.0 0.0 1.0 1
user1476 0.0 0.0 1.0 1
user191 0.0 0.0 1.0 3
user816 0.0 0.0 1.0 26
user943 0.0 0.0 1.0 22
user192 0.0 0.0 1.0 9
user1022 0.0 0.0 1.0 16
user193 0.0 0.0 1.0 2
user194 0.0 0.0 1.0 10
user686 0.0 0.0 1.0 19
user925 0.0 0.0 1.0 8
user195 0.0 0.0 1.0 7
user196 0.0 0.0 1.0 3
user197 0.0 0.0 1.0 10
user198 0.0 0.0 1.0 12
user754 0.0 0.0 1.0 19
user698 0.0 0.0 1.0 2
user665 0.0 0.0 1.0 6
user201 0.0 0.0 1.0 2
user202 0.0 0.0 1.0 1
user544 0.0 0.0 1.0 13
user203 0.0 0.0 1.0 12
user204 0.0 0.0 1.0 5
user205 0.0 0.0 1.0 13
user206 0.0 0.0 1.0 1
user740 0.0 0.0 1.0 12
user1377 0.0 0.0 1.0 6
user208 0.0 0.0 1.0 3
user1081 0.0 0.0 1.0 1
user375 0.0 0.0 1.0 5
user210 0.0 0.0 1.0 1
user211 0.0 0.0 1.0 8
user1034 0.0 0.0 1.0 18
user1455 0.0 0.0 1.0 3
user214 0.0 0.0 1.0 14
user875 0.0 0.0 1.0 6
user215 0.0 0.0 1.0 14
user217 0.0 0.0 1.0 12
user218 0.0 0.0 1.0 5
user1080 0.0 0.0 1.0 11
user220 0.0 0.0 1.0 15
user979 0.0 0.0 1.0 8
user1091 0.0 0.0 1.0 11
user221 0.0 0.0 1.0 6
user1062 0.0 0.0 1.0 11
user1099 0.0 0.0 1.0 4
user223 0.0 0.0 1.0 5
user861 0.0 0.0 1.0 11
user1141 0.0 0.0 1.0 4
user788 0.0 0.0 1.0 17
user915 0.0 0.0 1.0 6
user225 0.0 0.0 1.0 7
user1442 0.0 0.0 1.0 2
user226 0.0 0.0 1.0 9
user227 0.0 0.0 1.0 7
user1465 0.0 0.0 1.0 6
user228 0.0 0.0 1.0 19
user229 0.0 0.0 1.0 5
user231 0.0 0.0 1.0 1
user232 0.0 0.0 1.0 9
user233 0.0 0.0 1.0 14
user1426 0.0 0.0 1.0 5
user1422 0.0 0.0 1.0 13
user234 0.0 0.0 1.0 18
user741 0.0 0.0 1.0 4
user711 0.0 0.0 1.0 7
user235 0.0 0.0 1.0 1
user236 0.0 0.0 1.0 20
user237 0.0 0.0 1.0 1
user238 0.0 0.0 1.0 11
user239 0.0 0.0 1.0 5
user240 0.0 0.0 1.0 3
user241 0.0 0.0 1.0 16
user839 0.0 0.0 1.0 3
user242 0.0 0.0 1.0 2
user638 0.0 0.0 1.0 32
user1271 0.0 0.0 1.0 3
user244 0.0 0.0 1.0 10
user245 0.0 0.0 1.0 1
user246 0.0 0.0 1.0 10
user247 0.0 0.0 1.0 1
user248 0.0 0.0 1.0 1
user311 0.0 0.0 1.0 4
user249 0.0 0.0 1.0 2
user250 0.0 0.0 1.0 1
user251 0.0 0.0 1.0 3
user252 0.0 0.0 1.0 7
user253 0.0 0.0 1.0 2
user254 0.0 0.0 1.0 9
user255 0.0 0.0 1.0 2
user1446 0.0 0.0 1.0 2
user966 0.0 0.0 1.0 9
user256 0.0 0.0 1.0 1
user942 0.0 0.0 1.0 5
user573 0.0 0.0 1.0 10
user1176 0.0 0.0 1.0 5
user257 0.0 0.0 1.0 17
user752 0.0 0.0 1.0 7
user258 0.0 0.0 1.0 2
user259 0.0 0.0 1.0 35
user260 0.0 0.0 1.0 1
user261 0.0 0.0 1.0 22
user379 0.0 0.0 1.0 12
user488 0.0 0.0 1.0 10
user492 0.0 0.0 1.0 8
user262 0.0 0.0 1.0 1
user263 0.0 0.0 1.0 3
user264 0.0 0.0 1.0 13
user948 0.0 0.0 1.0 1
user265 0.0 0.0 1.0 1
user266 0.0 0.0 1.0 18
user267 0.0 0.0 1.0 5
user268 0.0 0.0 1.0 1
user1429 0.0 0.0 1.0 6
user270 0.0 0.0 1.0 13
user272 0.0 0.0 1.0 7
user273 0.0 0.0 1.0 2
user519 0.0 0.0 1.0 5
user452 0.0 0.0 1.0 23
user291 0.0 0.0 1.0 10
user274 0.0 0.0 1.0 5
user276 0.0 0.0 1.0 10
user277 0.0 0.0 1.0 25
user453 0.0 0.0 1.0 2
user680 0.0 0.0 1.0 7
user669 0.0 0.0 1.0 3
user278 0.0 0.0 1.0 1
user1120 0.0 0.0 1.0 8
user279 0.0 0.0 1.0 3
user280 0.0 0.0 1.0 18
user913 0.0 0.0 1.0 10
user1013 0.0 0.0 1.0 7
user282 0.0 0.0 1.0 4
user283 0.0 0.0 1.0 6
user284 0.0 0.0 1.0 21
user285 0.0 0.0 1.0 2
user286 0.0 0.0 1.0 1
user287 0.0 0.0 1.0 11
user288 0.0 0.0 1.0 13
user331 0.0 0.0 1.0 5
user444 0.0 0.0 1.0 6
user290 0.0 0.0 1.0 12
user1144 0.0 0.0 1.0 3
user289 0.0 0.0 1.0 10
user292 0.0 0.0 1.0 5
