user oboCreateDigitalMediaAndReleases approve safeTransferFrom burnToken burnDigitalMedia transferFrom burn oboCreateDigitalMediaReleases session_count
user114 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user94 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user116 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user64 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user77 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user88 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user72 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 3
user82 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user79 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user86 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user292 0.0 1.0 1.0 0.0 0.0 1.0 0.0 0.0 6
user109 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user84 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 3
user397 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 21
user172 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user107 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 3
user91 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user159 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 9
user474 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user102 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user110 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user379 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user576 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 6
user294 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user164 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user10 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user115 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 4
user212 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user299 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user252 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user206 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 29
user351 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user255 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user194 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user180 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user161 0.0 0.0 1.0 0.0 0.0 1.0 0.0 0.0 5
user361 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user195 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user168 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 4
user434 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user284 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 3
user169 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user170 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user349 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user385 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user266 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
user204 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 3
user335 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 2
user303 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 1
