user  totalDuration  totalTxs  minDurationPerTx   meanDurationPerTx  maxDurationPerTx
user428 50309 2 50308 50308.0 50308
user429 87644 4 5399 29214.333333333332 74668
user430 499807 15 27 35700.42857142857 173260
user431 1 1 0 0 0
user432 1 1 0 0 0
user433 1 1 0 0 0
user434 13 2 12 12.0 12
user435 1 1 0 0 0
user436 90826 3 25524 45412.5 65301
user437 1 1 0 0 0
user438 1 1 0 0 0
user439 1 1 0 0 0
user440 1 1 0 0 0
user441 1 1 0 0 0
user442 3088 2 3087 3087.0 3087
user443 499109 5 4 124777.0 385868
user444 1 1 0 0 0
user445 2 2 1 1.0 1
user446 1 1 0 0 0
user447 1 1 0 0 0
user448 1 1 0 0 0
user449 1 1 0 0 0
user450 1 1 0 0 0
user451 85498 2 85497 85497.0 85497
user452 1 1 0 0 0
user453 1 1 0 0 0
user454 1 1 0 0 0
user455 448793 18 0 26399.529411764706 241097
user456 1 1 0 0 0
user457 303498 14 0 23345.923076923078 101172
user458 237892 48 0 5061.510638297872 144683
user459 1 1 0 0 0
user460 1 1 0 0 0
user461 348995 2 348994 348994.0 348994
user462 1 1 0 0 0
user463 6 2 5 5.0 5
user464 39 3 15 19.0 23
user465 488462 2 488461 488461.0 488461
user466 1 1 0 0 0
user467 1 1 0 0 0
user468 23201 2 23200 23200.0 23200
user469 328109 42 0 8002.634146341464 262604
user470 437532 17 9 27345.6875 216067
user471 1 1 0 0 0
user472 14920 2 14919 14919.0 14919
user473 481538 2 481537 481537.0 481537
user474 426432 2 426431 426431.0 426431
user475 327235 8 561 46747.71428571428 203577
user476 1 1 0 0 0
user477 423733 3 208251 211866.0 215481
user478 1 1 0 0 0
user479 15292 3 79 7645.5 15212
user480 1 1 0 0 0
user481 110899 2 110898 110898.0 110898
user482 465818 2 465817 465817.0 465817
user483 1 1 0 0 0
user484 1 1 0 0 0
user485 1 1 0 0 0
user486 84785 2 84784 84784.0 84784
user487 466075 5 31286 116518.5 247446
user488 1 2 0 0.0 0
user489 1 1 0 0 0
user490 6824 2 6823 6823.0 6823
user491 443252 3 202123 221625.5 241128
user492 240 3 110 119.5 129
user493 5893 3 895 2946.0 4997
user494 441858 16 33 29457.133333333335 216797
user495 1 1 0 0 0
user496 1 1 0 0 0
user497 1 1 0 0 0
user498 1 1 0 0 0
user499 449414 16 0 29960.866666666665 227320
user500 1 1 0 0 0
user501 1 1 0 0 0
user502 1 1 0 0 0
user503 1 1 0 0 0
user504 40556 3 12 20277.5 40543
user505 106455 2 106454 106454.0 106454
user506 1 1 0 0 0
user507 1 1 0 0 0
user508 20866 3 191 10432.5 20674
user509 13 2 12 12.0 12
user510 3831 2 3830 3830.0 3830
user511 1 2 0 0.0 0
user512 1 1 0 0 0
user513 1 1 0 0 0
user514 1 1 0 0 0
user515 1 1 0 0 0
user516 1 1 0 0 0
user517 9 2 8 8.0 8
user518 32227 2 32226 32226.0 32226
user519 4 3 1 1.5 2
user520 325315 7 0 54219.0 201937
user521 12 3 2 5.5 9
user522 312638 3 17 156318.5 312620
user523 358072 10 2362 39785.666666666664 136867
user524 319135 3 1 159567.0 319133
user525 17 2 16 16.0 16
user526 1 1 0 0 0
user527 1 1 0 0 0
user528 1 1 0 0 0
user529 1 1 0 0 0
user530 119716 2 119715 119715.0 119715
user531 1 1 0 0 0
user532 1 1 0 0 0
user533 116 2 115 115.0 115
user534 1 1 0 0 0
user535 38931 2 38930 38930.0 38930
user536 1 1 0 0 0
user537 1 1 0 0 0
user538 322891 4 35885 107630.0 208096
user539 1 1 0 0 0
user540 2 2 1 1.0 1
user541 1 1 0 0 0
user542 1 1 0 0 0
user543 1 1 0 0 0
user544 1 1 0 0 0
user545 79932 2 79931 79931.0 79931
user546 1 1 0 0 0
user547 1 1 0 0 0
user548 1 1 0 0 0
user549 1 1 0 0 0
user550 118203 6 0 23640.4 118202
user551 53 23 0 2.3636363636363638 10
user552 1 1 0 0 0
user553 1 1 0 0 0
user554 1 1 0 0 0
user555 259659 6 0 51931.6 137210
user556 188748 2 188747 188747.0 188747
user557 66491 6 0 13298.0 66462
user558 307205 5 5822 76801.0 202005
user559 268372 2 268371 268371.0 268371
user560 1 1 0 0 0
user561 325971 17 1 20373.125 110417
user562 14341 2 14340 14340.0 14340
user563 1 1 0 0 0
user564 1 1 0 0 0
user565 1 1 0 0 0
user566 1 1 0 0 0
user567 1 1 0 0 0
user568 11929 2 11928 11928.0 11928
user569 1 1 0 0 0
user570 254207 29 0 9078.785714285714 80165
user571 1 1 0 0 0
user572 7304 2 7303 7303.0 7303
user573 1 3 0 0.0 0
user574 1 1 0 0 0
user575 63 14 0 4.769230769230769 41
user576 208522 6 1 41704.2 208264
user577 1 1 0 0 0
user578 1 1 0 0 0
user579 49966 2 49965 49965.0 49965
user580 1 1 0 0 0
user581 1 1 0 0 0
user582 171835 2 171834 171834.0 171834
user583 252844 4 3 84281.0 219957
user584 1 1 0 0 0
user585 95355 3 44595 47677.0 50759
user586 89018 5 6 22254.25 63939
user587 304508 6 0 60901.4 162917
user588 1 1 0 0 0
user589 1 1 0 0 0
user590 1 1 0 0 0
user591 1 1 0 0 0
user592 2 2 1 1.0 1
user593 44 2 43 43.0 43
user594 271803 2 271802 271802.0 271802
user595 1 1 0 0 0
user596 1 1 0 0 0
user597 92712 3 39393 46355.5 53318
user598 47408 2 47407 47407.0 47407
user599 288048 3 73923 144023.5 214124
user600 10 2 9 9.0 9
user601 1 1 0 0 0
user602 190 3 71 94.5 118
user603 445 18 3 26.11764705882353 141
user604 1 1 0 0 0
user605 88540 2 88539 88539.0 88539
user606 2534 5 0 633.25 2527
user607 1 1 0 0 0
user608 14809 10 0 1645.3333333333333 12667
user609 1 1 0 0 0
user610 1 1 0 0 0
user611 25449 3 38 12724.0 25410
user612 79938 2 79937 79937.0 79937
user613 7797 2 7796 7796.0 7796
user614 1 1 0 0 0
user615 5344 3 97 2671.5 5246
user616 1 1 0 0 0
user617 5898 2 5897 5897.0 5897
user618 1 1 0 0 0
user619 1 1 0 0 0
user620 1 1 0 0 0
user621 63838 4 6 21279.0 55039
user622 1 1 0 0 0
user623 1 1 0 0 0
user624 1 1 0 0 0
user625 1 1 0 0 0
user626 1 1 0 0 0
user627 150895 2 150894 150894.0 150894
user628 98261 3 38749 49130.0 59511
user629 1 1 0 0 0
user630 1 1 0 0 0
user631 1 1 0 0 0
user632 161387 5 26824 40346.5 69692
user633 5 8 0 0.5714285714285714 3
user634 1 1 0 0 0
user635 1 1 0 0 0
user636 1 1 0 0 0
user637 1 1 0 0 0
user638 9080 2 9079 9079.0 9079
user639 1 1 0 0 0
user640 66629 2 66628 66628.0 66628
user641 1 1 0 0 0
user642 312 18 0 18.294117647058822 108
user643 160816 4 34039 53605.0 91779
user644 1 1 0 0 0
user645 8 3 0 3.5 7
user646 1 1 0 0 0
user647 18 3 7 8.5 10
user648 1 1 0 0 0
user649 64770 2 64769 64769.0 64769
user650 1 1 0 0 0
user651 8 2 7 7.0 7
user652 1 1 0 0 0
user653 78931 7 0 13155.0 19928
user654 120082 2 120081 120081.0 120081
user655 1 1 0 0 0
user656 110455 4 6 36818.0 78720
user657 28 2 27 27.0 27
user658 156 2 155 155.0 155
user659 1 1 0 0 0
user660 97568 6 542 19513.4 42727
user661 1 1 0 0 0
user662 156193 31 0 5206.4 52339
user663 38438 2 38437 38437.0 38437
user664 101825 2 101824 101824.0 101824
user665 94552 2 94551 94551.0 94551
user666 1 1 0 0 0
user667 1 1 0 0 0
user668 1 1 0 0 0
user669 26111 2 26110 26110.0 26110
user670 1 1 0 0 0
user671 1 1 0 0 0
user672 1 1 0 0 0
user673 1 1 0 0 0
user674 1 1 0 0 0
user675 1 1 0 0 0
user676 84893 5 22 21223.0 75596
user677 1 1 0 0 0
user678 1 1 0 0 0
user679 51716 4 1 17238.333333333332 51604
user680 1 1 0 0 0
user681 1 1 0 0 0
user682 1 1 0 0 0
user683 1 1 0 0 0
user684 47365 10 0 5262.666666666667 25656
user685 1 1 0 0 0
