user punkNoLongerForSale withdrawBidForPunk transferPunk setInitialOwner buyPunk getPunk enterBidForPunk acceptBidForPunk offerPunkForSale offerPunkForSaleToAddress session_count
user1199 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 8
user690 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 40
user896 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 4
user1280 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 24
user533 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 14
user511 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 19
user138 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 100
user611 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 1.0 49
user232 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 18
user1267 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 16
user171 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 2
user189 1.0 1.0 0.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 35
user711 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 99
user1266 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 10
user816 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 39
user666 1.0 1.0 0.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 9
user1004 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 27
user1091 0.0 0.0 1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 3
user449 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 3
user1182 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 3
user77 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 22
user745 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 6
user1482 0.0 1.0 1.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 2
user112 0.0 1.0 1.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 13
user1242 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 33
user10 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1.0 119
user190 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user796 1.0 1.0 0.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 51
user640 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 1
user687 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 33
user722 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1.0 28
user620 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 34
user1105 1.0 1.0 0.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 17
user1472 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 19
user1107 0.0 1.0 1.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 5
user1111 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 59
user16 1.0 0.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 31
user677 0.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 63
user1393 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 4
user1297 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 70
user259 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 1
user1198 1.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 4
user609 0.0 1.0 0.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 59
user1452 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 13
user861 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 1
user86 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 7
user312 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 4
user1077 1.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 3
user1074 1.0 1.0 1.0 0.0 1.0 0.0 1.0 1.0 1.0 0.0 15
user1269 1.0 0.0 1.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 10
user300 1.0 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 0.0 31
user1422 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 12
user4 0.0 0.0 1.0 0.0 1.0 0.0 0.0 1.0 1.0 1.0 514
user134 1.0 0.0 0.0 0.0 1.0 0.0 0.0 1.0 1.0 0.0 101
user730 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 1
user1337 1.0 1.0 1.0 0.0 0.0 0.0 1.0 0.0 1.0 0.0 130
user365 0.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2
user175 0.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 0.0 0.0 22
user320 0.0 1.0 0.0 0.0 0.0 0.0 1.0 1.0 1.0 0.0 7
user273 0.0 1.0 0.0 0.0 1.0 0.0 1.0 0.0 1.0 0.0 16
user788 0.0 1.0 1.0 0.0 1.0 0.0 1.0 0.0 0.0 0.0 5
user917 0.0 1.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 8
