user acceptBid setSalePrice bid transfer cancelBid buy session_count
user357 1.0 1.0 1.0 0.0 1.0 1.0 21
user53 0.0 1.0 0.0 0.0 0.0 1.0 1
user811 0.0 0.0 1.0 0.0 0.0 0.0 1
user218 1.0 1.0 1.0 1.0 1.0 0.0 142
user97 1.0 1.0 1.0 0.0 1.0 1.0 21
user49 1.0 1.0 0.0 0.0 0.0 0.0 4
user219 0.0 0.0 1.0 0.0 1.0 0.0 1
user52 0.0 0.0 1.0 0.0 0.0 0.0 1
user51 1.0 1.0 0.0 1.0 0.0 0.0 7
user55 1.0 1.0 0.0 0.0 0.0 0.0 2
user56 0.0 0.0 1.0 0.0 1.0 0.0 1
user148 0.0 0.0 1.0 0.0 0.0 0.0 1
user263 0.0 1.0 1.0 0.0 0.0 1.0 4
user359 0.0 1.0 1.0 0.0 1.0 1.0 9
user798 0.0 1.0 1.0 1.0 1.0 1.0 17
user1028 0.0 0.0 1.0 0.0 1.0 0.0 1
user48 1.0 1.0 1.0 1.0 1.0 0.0 25
user524 0.0 1.0 1.0 0.0 1.0 1.0 5
user58 0.0 1.0 0.0 0.0 0.0 0.0 6
user653 0.0 1.0 1.0 0.0 1.0 1.0 8
user275 0.0 1.0 1.0 0.0 1.0 0.0 22
user127 0.0 1.0 0.0 0.0 0.0 0.0 1
user153 1.0 1.0 1.0 0.0 1.0 0.0 16
user161 0.0 0.0 1.0 0.0 0.0 0.0 1
user59 1.0 1.0 0.0 0.0 0.0 0.0 9
user1088 0.0 0.0 1.0 0.0 0.0 0.0 1
user174 0.0 0.0 1.0 0.0 0.0 0.0 1
user635 0.0 0.0 0.0 1.0 0.0 0.0 1
user998 0.0 0.0 1.0 0.0 1.0 1.0 3
user296 0.0 1.0 0.0 0.0 0.0 0.0 1
user878 0.0 0.0 1.0 0.0 1.0 0.0 10
user857 0.0 0.0 0.0 1.0 0.0 1.0 1
user65 1.0 1.0 1.0 1.0 0.0 0.0 127
user440 1.0 1.0 1.0 1.0 1.0 1.0 19
user66 1.0 1.0 1.0 1.0 0.0 1.0 23
user119 1.0 0.0 1.0 0.0 1.0 1.0 6
user662 0.0 0.0 1.0 0.0 1.0 0.0 1
user83 1.0 1.0 0.0 1.0 0.0 1.0 3
user88 0.0 0.0 1.0 0.0 0.0 0.0 2
user224 0.0 0.0 1.0 0.0 0.0 0.0 1
user293 1.0 1.0 1.0 1.0 1.0 1.0 76
user68 1.0 1.0 0.0 1.0 0.0 0.0 12
user72 0.0 1.0 1.0 0.0 0.0 0.0 1
user115 0.0 0.0 0.0 1.0 0.0 1.0 1
user69 1.0 1.0 0.0 1.0 0.0 0.0 4
user418 0.0 1.0 0.0 0.0 0.0 1.0 2
user655 0.0 0.0 1.0 0.0 1.0 1.0 6
user192 1.0 1.0 1.0 1.0 1.0 1.0 9
user1046 0.0 0.0 1.0 0.0 1.0 0.0 4
user323 1.0 1.0 1.0 1.0 1.0 1.0 74
user84 0.0 0.0 1.0 0.0 0.0 1.0 2
user1095 0.0 0.0 1.0 0.0 1.0 0.0 4
user1096 0.0 0.0 1.0 0.0 1.0 0.0 1
user70 1.0 1.0 1.0 1.0 1.0 0.0 33
user73 0.0 1.0 0.0 0.0 0.0 0.0 1
user75 1.0 1.0 1.0 0.0 1.0 0.0 33
user352 0.0 1.0 1.0 1.0 1.0 0.0 9
user866 0.0 0.0 1.0 0.0 1.0 0.0 1
user899 0.0 0.0 1.0 0.0 1.0 1.0 7
user71 1.0 1.0 1.0 1.0 1.0 0.0 42
user147 1.0 1.0 1.0 1.0 1.0 0.0 80
user123 0.0 0.0 1.0 0.0 1.0 1.0 13
user164 0.0 0.0 1.0 0.0 1.0 0.0 3
user80 0.0 0.0 0.0 1.0 0.0 0.0 1
user117 0.0 0.0 1.0 0.0 0.0 0.0 1
user228 0.0 0.0 1.0 0.0 1.0 0.0 3
user631 0.0 0.0 1.0 0.0 1.0 0.0 4
user372 0.0 0.0 0.0 1.0 0.0 0.0 1
user76 0.0 0.0 0.0 1.0 0.0 0.0 1
user870 0.0 1.0 1.0 0.0 0.0 1.0 2
user880 0.0 0.0 1.0 0.0 1.0 0.0 1
user78 0.0 0.0 0.0 1.0 0.0 0.0 1
user719 1.0 1.0 1.0 1.0 1.0 1.0 44
user77 0.0 0.0 0.0 1.0 0.0 0.0 1
user574 0.0 0.0 1.0 0.0 0.0 1.0 4
user593 0.0 0.0 0.0 1.0 0.0 0.0 1
user79 0.0 0.0 0.0 1.0 0.0 0.0 1
user575 0.0 0.0 1.0 0.0 0.0 0.0 1
user382 1.0 0.0 0.0 0.0 0.0 0.0 24
user211 0.0 0.0 0.0 1.0 0.0 0.0 1
user559 1.0 0.0 0.0 0.0 0.0 0.0 1
user812 0.0 0.0 1.0 0.0 1.0 0.0 2
user813 0.0 0.0 1.0 0.0 1.0 0.0 1
user814 0.0 0.0 1.0 0.0 0.0 0.0 1
user553 0.0 1.0 1.0 0.0 0.0 0.0 3
user818 0.0 0.0 1.0 0.0 0.0 0.0 1
user481 1.0 1.0 1.0 0.0 1.0 1.0 7
user710 0.0 1.0 1.0 0.0 1.0 0.0 4
user825 0.0 0.0 1.0 0.0 0.0 0.0 2
user770 0.0 0.0 1.0 1.0 1.0 1.0 12
user826 0.0 0.0 1.0 0.0 0.0 0.0 1
user212 1.0 1.0 1.0 1.0 1.0 0.0 84
user668 0.0 0.0 1.0 0.0 1.0 0.0 1
user480 0.0 1.0 1.0 0.0 1.0 0.0 10
user82 1.0 0.0 1.0 1.0 0.0 0.0 6
user108 0.0 0.0 1.0 0.0 1.0 1.0 4
user606 0.0 1.0 1.0 0.0 1.0 1.0 9
user136 1.0 1.0 1.0 1.0 1.0 1.0 15
user680 0.0 0.0 1.0 0.0 0.0 0.0 1
user839 0.0 1.0 1.0 0.0 1.0 1.0 2
user265 0.0 1.0 1.0 0.0 1.0 0.0 23
user1000 0.0 0.0 1.0 0.0 1.0 0.0 1
user87 0.0 0.0 1.0 0.0 0.0 0.0 1
user202 0.0 0.0 0.0 0.0 0.0 1.0 1
user1020 0.0 0.0 1.0 1.0 1.0 0.0 4
user128 0.0 1.0 1.0 0.0 0.0 1.0 6
user146 1.0 1.0 1.0 1.0 0.0 1.0 85
user86 1.0 0.0 0.0 0.0 0.0 0.0 5
user89 0.0 0.0 1.0 0.0 0.0 0.0 1
user268 1.0 1.0 1.0 0.0 1.0 1.0 74
user930 0.0 0.0 1.0 0.0 1.0 0.0 2
user90 0.0 0.0 1.0 1.0 0.0 1.0 6
user541 0.0 0.0 1.0 1.0 0.0 0.0 5
user207 1.0 1.0 1.0 0.0 0.0 1.0 13
user91 1.0 1.0 0.0 1.0 0.0 0.0 18
user92 1.0 0.0 1.0 0.0 0.0 1.0 2
user95 0.0 0.0 1.0 0.0 0.0 0.0 1
