user addSales purchaseByEMONT airDrop purchase session_count
user238 0.0 1.0 1.0 0.0 6
user235 0.0 1.0 1.0 0.0 6
user214 0.0 1.0 1.0 0.0 2
user233 0.0 1.0 1.0 0.0 3
user317 0.0 1.0 1.0 0.0 4
user349 0.0 1.0 1.0 0.0 7
user362 0.0 1.0 1.0 0.0 6
user250 0.0 1.0 1.0 0.0 3
user387 0.0 1.0 1.0 0.0 2
user392 0.0 1.0 1.0 0.0 3
user402 0.0 1.0 1.0 0.0 7
user75 0.0 1.0 1.0 0.0 5
user163 0.0 1.0 1.0 0.0 5
user413 0.0 1.0 1.0 0.0 6
user373 0.0 1.0 1.0 0.0 6
user320 0.0 1.0 1.0 0.0 4
user168 0.0 1.0 1.0 0.0 4
user418 0.0 1.0 1.0 0.0 4
user267 0.0 1.0 1.0 0.0 4
user379 0.0 1.0 1.0 0.0 3
user432 0.0 1.0 1.0 0.0 4
user268 0.0 1.0 1.0 0.0 5
user269 0.0 1.0 1.0 0.0 5
user450 0.0 1.0 1.0 0.0 5
user453 0.0 1.0 1.0 0.0 2
user410 0.0 1.0 1.0 0.0 6
user516 0.0 1.0 1.0 0.0 4
user342 0.0 1.0 1.0 0.0 7
user566 0.0 1.0 1.0 0.0 5
user621 0.0 1.0 1.0 0.0 2
user39 0.0 1.0 1.0 0.0 5
user625 0.0 1.0 1.0 0.0 2
user497 0.0 1.0 1.0 0.0 5
user426 0.0 1.0 1.0 0.0 5
user946 0.0 1.0 1.0 0.0 4
user440 0.0 1.0 1.0 0.0 7
user957 0.0 1.0 1.0 0.0 5
user764 0.0 1.0 1.0 0.0 6
user726 0.0 1.0 1.0 0.0 3
user993 0.0 1.0 1.0 0.0 6
user951 0.0 1.0 1.0 0.0 2
user1392 0.0 1.0 1.0 0.0 7
user1402 0.0 1.0 1.0 0.0 6
user266 0.0 1.0 1.0 0.0 5
user2 0.0 0.0 1.0 0.0 4
user4 0.0 0.0 1.0 0.0 1
user17 0.0 0.0 1.0 0.0 1
user20 0.0 0.0 1.0 0.0 1
user25 0.0 0.0 1.0 0.0 1
user27 0.0 0.0 1.0 0.0 1
user29 0.0 0.0 1.0 0.0 1
user33 0.0 1.0 1.0 0.0 5
user36 0.0 0.0 1.0 0.0 4
user38 0.0 0.0 1.0 0.0 4
user40 0.0 0.0 1.0 0.0 1
user41 0.0 0.0 1.0 0.0 4
user47 0.0 0.0 1.0 0.0 1
user49 0.0 0.0 1.0 0.0 1
user54 0.0 0.0 1.0 0.0 1
user55 0.0 0.0 1.0 0.0 1
user57 0.0 0.0 1.0 0.0 1
user58 0.0 0.0 1.0 0.0 1
user61 0.0 0.0 1.0 0.0 2
user66 0.0 0.0 1.0 0.0 4
user73 0.0 0.0 1.0 0.0 2
user74 0.0 0.0 1.0 0.0 1
user80 0.0 0.0 1.0 0.0 1
user82 0.0 0.0 1.0 0.0 1
user84 0.0 0.0 1.0 0.0 3
user88 0.0 0.0 1.0 0.0 1
user97 0.0 0.0 1.0 0.0 3
user99 0.0 0.0 1.0 0.0 1
user100 0.0 0.0 1.0 0.0 1
user103 0.0 0.0 1.0 0.0 1
user109 0.0 0.0 1.0 0.0 3
user110 0.0 0.0 1.0 0.0 3
user115 0.0 0.0 1.0 0.0 3
user116 0.0 0.0 1.0 0.0 1
user120 0.0 0.0 1.0 0.0 4
user123 0.0 0.0 1.0 0.0 1
user124 0.0 0.0 1.0 0.0 1
user133 0.0 0.0 1.0 0.0 2
user135 0.0 0.0 1.0 0.0 3
user138 0.0 0.0 1.0 0.0 3
user144 0.0 0.0 1.0 0.0 1
user146 0.0 0.0 1.0 0.0 1
user147 0.0 0.0 1.0 0.0 3
user151 0.0 0.0 1.0 0.0 1
user153 0.0 0.0 1.0 0.0 2
user154 0.0 0.0 1.0 0.0 1
user155 0.0 0.0 1.0 0.0 4
user157 0.0 0.0 1.0 0.0 4
user158 0.0 0.0 1.0 0.0 1
user162 0.0 0.0 1.0 0.0 1
user164 0.0 0.0 1.0 0.0 1
user165 0.0 0.0 1.0 0.0 4
user169 0.0 0.0 1.0 0.0 3
user170 0.0 0.0 1.0 0.0 1
user172 0.0 0.0 1.0 0.0 1
user175 0.0 0.0 1.0 0.0 3
user179 0.0 0.0 1.0 0.0 2
user180 0.0 0.0 1.0 0.0 1
user181 0.0 0.0 1.0 0.0 1
user183 0.0 0.0 1.0 0.0 3
user190 0.0 0.0 1.0 0.0 1
user192 0.0 1.0 1.0 0.0 4
user193 0.0 1.0 1.0 0.0 4
user194 0.0 0.0 1.0 0.0 3
user196 0.0 0.0 1.0 0.0 1
user198 0.0 0.0 1.0 0.0 1
user201 0.0 0.0 1.0 0.0 1
user203 0.0 0.0 1.0 0.0 1
user205 0.0 0.0 1.0 0.0 1
user208 0.0 0.0 1.0 0.0 1
user213 0.0 0.0 1.0 0.0 1
user215 0.0 0.0 1.0 0.0 1
user216 0.0 0.0 1.0 0.0 2
user218 0.0 0.0 1.0 0.0 4
user219 0.0 0.0 1.0 0.0 1
user222 0.0 1.0 1.0 0.0 4
user223 0.0 0.0 1.0 0.0 1
user227 0.0 1.0 1.0 0.0 6
user240 0.0 0.0 1.0 0.0 1
user241 0.0 0.0 1.0 0.0 2
user245 0.0 0.0 1.0 0.0 1
user246 0.0 0.0 1.0 0.0 1
user247 0.0 0.0 1.0 0.0 1
user252 0.0 0.0 1.0 0.0 1
user253 0.0 1.0 1.0 0.0 5
user254 0.0 0.0 1.0 0.0 2
user255 0.0 0.0 1.0 0.0 2
user256 0.0 0.0 1.0 0.0 2
user257 0.0 0.0 1.0 0.0 2
user258 0.0 0.0 1.0 0.0 1
user259 0.0 0.0 1.0 0.0 1
user260 0.0 0.0 1.0 0.0 2
user262 0.0 0.0 1.0 0.0 1
user263 0.0 0.0 1.0 0.0 2
user264 0.0 0.0 1.0 0.0 1
user270 0.0 0.0 1.0 0.0 3
user271 0.0 0.0 1.0 0.0 3
user272 0.0 0.0 1.0 0.0 3
user275 0.0 0.0 1.0 0.0 2
user277 0.0 0.0 1.0 0.0 4
user278 0.0 0.0 1.0 0.0 1
user279 0.0 0.0 1.0 0.0 1
user282 0.0 0.0 1.0 0.0 4
user285 0.0 0.0 1.0 0.0 2
user287 0.0 0.0 1.0 0.0 1
user291 0.0 0.0 1.0 0.0 2
user293 0.0 0.0 1.0 0.0 3
user294 0.0 0.0 1.0 0.0 1
user297 0.0 0.0 1.0 0.0 4
user300 0.0 0.0 1.0 0.0 2
user301 0.0 0.0 1.0 0.0 1
user303 0.0 0.0 1.0 0.0 1
user304 0.0 0.0 1.0 0.0 2
user307 0.0 0.0 1.0 0.0 2
user309 0.0 0.0 1.0 0.0 1
user310 0.0 0.0 1.0 0.0 2
user311 0.0 0.0 1.0 0.0 1
user313 0.0 0.0 1.0 0.0 1
user314 0.0 0.0 1.0 0.0 3
user316 0.0 0.0 1.0 0.0 1
user318 0.0 0.0 1.0 0.0 1
user322 0.0 0.0 1.0 0.0 1
user323 0.0 0.0 1.0 0.0 1
user324 0.0 0.0 1.0 0.0 1
user328 0.0 0.0 1.0 0.0 1
user329 0.0 0.0 1.0 0.0 2
user330 0.0 0.0 1.0 0.0 1
user332 0.0 0.0 1.0 0.0 3
user333 0.0 0.0 1.0 0.0 3
user334 0.0 0.0 1.0 0.0 2
user335 0.0 0.0 1.0 0.0 4
user339 0.0 0.0 1.0 0.0 4
user340 0.0 0.0 1.0 0.0 3
user341 0.0 0.0 1.0 0.0 2
user345 0.0 0.0 1.0 0.0 1
user346 0.0 0.0 1.0 0.0 1
user347 0.0 0.0 1.0 0.0 2
user350 0.0 0.0 1.0 0.0 4
user351 0.0 0.0 1.0 0.0 2
user353 0.0 0.0 1.0 0.0 3
user354 0.0 0.0 1.0 0.0 2
user355 0.0 0.0 1.0 0.0 1
user356 0.0 1.0 1.0 0.0 6
user357 0.0 0.0 1.0 0.0 2
user358 0.0 0.0 1.0 0.0 1
user359 0.0 0.0 1.0 0.0 1
user360 0.0 0.0 1.0 0.0 2
user366 0.0 0.0 1.0 0.0 1
user367 0.0 0.0 1.0 0.0 1
user368 0.0 0.0 1.0 0.0 1
user369 0.0 0.0 1.0 0.0 1
user370 0.0 0.0 1.0 0.0 1
user371 0.0 0.0 1.0 0.0 2
user372 0.0 0.0 1.0 0.0 1
user374 0.0 0.0 1.0 0.0 1
user375 0.0 0.0 1.0 0.0 1
user376 0.0 0.0 1.0 0.0 1
user380 0.0 0.0 1.0 0.0 1
user381 0.0 0.0 1.0 0.0 1
user386 0.0 0.0 1.0 0.0 1
user388 0.0 0.0 1.0 0.0 2
user389 0.0 0.0 1.0 0.0 4
user390 0.0 0.0 1.0 0.0 1
user394 0.0 0.0 1.0 0.0 1
user395 0.0 0.0 1.0 0.0 1
user396 0.0 0.0 1.0 0.0 2
user397 0.0 0.0 1.0 0.0 1
user398 0.0 0.0 1.0 0.0 3
user399 0.0 0.0 1.0 0.0 1
user400 0.0 0.0 1.0 0.0 1
user401 0.0 0.0 1.0 0.0 1
user403 0.0 1.0 1.0 0.0 5
user404 0.0 0.0 1.0 0.0 3
user405 0.0 0.0 1.0 0.0 1
user406 0.0 0.0 1.0 0.0 1
user408 0.0 0.0 1.0 0.0 2
user409 0.0 0.0 1.0 0.0 2
user411 0.0 0.0 1.0 0.0 1
user412 0.0 0.0 1.0 0.0 3
user415 0.0 0.0 1.0 0.0 1
user416 0.0 0.0 1.0 0.0 1
user417 0.0 0.0 1.0 0.0 2
user419 0.0 0.0 1.0 0.0 1
user420 0.0 0.0 1.0 0.0 3
user422 0.0 1.0 1.0 0.0 5
user423 0.0 0.0 1.0 0.0 2
user424 0.0 0.0 1.0 0.0 1
user425 0.0 0.0 1.0 0.0 3
user427 0.0 0.0 1.0 0.0 1
user430 0.0 0.0 1.0 0.0 3
user431 0.0 1.0 1.0 0.0 3
user433 0.0 0.0 1.0 0.0 1
user434 0.0 0.0 1.0 0.0 1
user435 0.0 0.0 1.0 0.0 3
user437 0.0 0.0 1.0 0.0 1
user436 0.0 0.0 1.0 0.0 4
user439 0.0 1.0 1.0 0.0 6
user441 0.0 0.0 1.0 0.0 1
user442 0.0 0.0 1.0 0.0 3
user443 0.0 0.0 1.0 0.0 3
user444 0.0 0.0 1.0 0.0 3
user445 0.0 0.0 1.0 0.0 3
user446 0.0 0.0 1.0 0.0 2
user447 0.0 0.0 1.0 0.0 2
user448 0.0 0.0 1.0 0.0 3
user451 0.0 0.0 1.0 0.0 2
user452 0.0 0.0 1.0 0.0 1
user455 0.0 0.0 1.0 0.0 1
user456 0.0 0.0 1.0 0.0 3
user457 0.0 0.0 1.0 0.0 2
user458 0.0 0.0 1.0 0.0 2
user460 0.0 0.0 1.0 0.0 1
user461 0.0 0.0 1.0 0.0 1
user462 0.0 0.0 1.0 0.0 1
user463 0.0 0.0 1.0 0.0 2
user464 0.0 0.0 1.0 0.0 1
user465 0.0 0.0 1.0 0.0 1
user466 0.0 0.0 1.0 0.0 1
user467 0.0 0.0 1.0 0.0 1
user468 0.0 0.0 1.0 0.0 3
user469 0.0 0.0 1.0 0.0 1
user470 0.0 0.0 1.0 0.0 1
user474 0.0 0.0 1.0 0.0 1
user475 0.0 0.0 1.0 0.0 1
user476 0.0 0.0 1.0 0.0 1
user477 0.0 0.0 1.0 0.0 1
user478 0.0 0.0 1.0 0.0 1
user479 0.0 0.0 1.0 0.0 1
user480 0.0 0.0 1.0 0.0 1
user481 0.0 0.0 1.0 0.0 1
user482 0.0 0.0 1.0 0.0 1
user483 0.0 0.0 1.0 0.0 1
user484 0.0 0.0 1.0 0.0 3
user485 0.0 0.0 1.0 0.0 1
user486 0.0 0.0 1.0 0.0 4
user487 0.0 0.0 1.0 0.0 1
user488 0.0 0.0 1.0 0.0 1
user489 0.0 0.0 1.0 0.0 1
user490 0.0 0.0 1.0 0.0 1
user491 0.0 0.0 1.0 0.0 1
user492 0.0 0.0 1.0 0.0 1
user493 0.0 0.0 1.0 0.0 1
user494 0.0 0.0 1.0 0.0 1
user495 0.0 0.0 1.0 0.0 1
user496 0.0 0.0 1.0 0.0 1
user498 0.0 0.0 1.0 0.0 1
user499 0.0 0.0 1.0 0.0 3
user500 0.0 0.0 1.0 0.0 1
user501 0.0 0.0 1.0 0.0 1
user502 0.0 0.0 1.0 0.0 3
user503 0.0 0.0 1.0 0.0 1
user504 0.0 0.0 1.0 0.0 1
user505 0.0 0.0 1.0 0.0 1
user506 0.0 0.0 1.0 0.0 1
user507 0.0 0.0 1.0 0.0 1
user508 0.0 0.0 1.0 0.0 1
user509 0.0 0.0 1.0 0.0 1
user510 0.0 0.0 1.0 0.0 1
user511 0.0 0.0 1.0 0.0 1
user512 0.0 0.0 1.0 0.0 1
user513 0.0 0.0 1.0 0.0 1
user514 0.0 0.0 1.0 0.0 1
user515 0.0 0.0 1.0 0.0 1
user517 0.0 0.0 1.0 0.0 1
user518 0.0 0.0 1.0 0.0 1
user519 0.0 0.0 1.0 0.0 1
user520 0.0 0.0 1.0 0.0 1
user521 0.0 0.0 1.0 0.0 1
user522 0.0 0.0 1.0 0.0 1
user523 0.0 0.0 1.0 0.0 1
user524 0.0 0.0 1.0 0.0 1
user525 0.0 0.0 1.0 0.0 1
user526 0.0 0.0 1.0 0.0 1
user527 0.0 0.0 1.0 0.0 1
user528 0.0 0.0 1.0 0.0 1
user529 0.0 0.0 1.0 0.0 2
user530 0.0 0.0 1.0 0.0 1
user531 0.0 0.0 1.0 0.0 1
user532 0.0 0.0 1.0 0.0 1
user533 0.0 0.0 1.0 0.0 1
user534 0.0 0.0 1.0 0.0 1
user535 0.0 0.0 1.0 0.0 1
user536 0.0 0.0 1.0 0.0 1
user537 0.0 0.0 1.0 0.0 1
user538 0.0 0.0 1.0 0.0 1
user539 0.0 0.0 1.0 0.0 1
user540 0.0 0.0 1.0 0.0 1
user541 0.0 0.0 1.0 0.0 1
user542 0.0 0.0 1.0 0.0 1
user543 0.0 0.0 1.0 0.0 1
user544 0.0 0.0 1.0 0.0 1
user545 0.0 0.0 1.0 0.0 1
user546 0.0 0.0 1.0 0.0 1
user547 0.0 0.0 1.0 0.0 1
user548 0.0 0.0 1.0 0.0 1
user549 0.0 0.0 1.0 0.0 1
user550 0.0 0.0 1.0 0.0 1
user551 0.0 0.0 1.0 0.0 1
user552 0.0 0.0 1.0 0.0 1
user553 0.0 0.0 1.0 0.0 1
user554 0.0 0.0 1.0 0.0 1
user555 0.0 0.0 1.0 0.0 1
user556 0.0 0.0 1.0 0.0 1
user557 0.0 0.0 1.0 0.0 1
user558 0.0 0.0 1.0 0.0 1
user559 0.0 0.0 1.0 0.0 1
user560 0.0 0.0 1.0 0.0 1
user561 0.0 0.0 1.0 0.0 1
user562 0.0 0.0 1.0 0.0 1
user563 0.0 0.0 1.0 0.0 1
user564 0.0 0.0 1.0 0.0 1
user565 0.0 0.0 1.0 0.0 1
user567 0.0 0.0 1.0 0.0 1
user568 0.0 0.0 1.0 0.0 1
user569 0.0 0.0 1.0 0.0 1
user570 0.0 0.0 1.0 0.0 1
user571 0.0 0.0 1.0 0.0 1
user572 0.0 0.0 1.0 0.0 1
user574 0.0 0.0 1.0 0.0 3
user575 0.0 0.0 1.0 0.0 3
user576 0.0 0.0 1.0 0.0 2
user577 0.0 0.0 1.0 0.0 1
user582 0.0 0.0 1.0 0.0 2
user583 0.0 0.0 1.0 0.0 4
user585 0.0 0.0 1.0 0.0 2
user586 0.0 0.0 1.0 0.0 1
user587 0.0 0.0 1.0 0.0 3
user588 0.0 0.0 1.0 0.0 2
user581 0.0 0.0 1.0 0.0 1
user584 0.0 0.0 1.0 0.0 1
user592 0.0 0.0 1.0 0.0 1
user593 0.0 0.0 1.0 0.0 2
user594 0.0 0.0 1.0 0.0 1
user595 0.0 0.0 1.0 0.0 1
user596 0.0 0.0 1.0 0.0 1
user597 0.0 0.0 1.0 0.0 1
user598 0.0 0.0 1.0 0.0 1
user599 0.0 0.0 1.0 0.0 1
user600 0.0 0.0 1.0 0.0 1
user601 0.0 0.0 1.0 0.0 1
user602 0.0 0.0 1.0 0.0 4
user603 0.0 0.0 1.0 0.0 1
user604 0.0 0.0 1.0 0.0 1
user605 0.0 0.0 1.0 0.0 1
user606 0.0 0.0 1.0 0.0 1
user607 0.0 0.0 1.0 0.0 1
user608 0.0 0.0 1.0 0.0 1
user609 0.0 0.0 1.0 0.0 2
user610 0.0 0.0 1.0 0.0 1
user611 0.0 0.0 1.0 0.0 1
user612 0.0 0.0 1.0 0.0 1
user613 0.0 0.0 1.0 0.0 1
user614 0.0 0.0 1.0 0.0 1
user615 0.0 0.0 1.0 0.0 1
user616 0.0 0.0 1.0 0.0 2
user617 0.0 0.0 1.0 0.0 1
user619 0.0 0.0 1.0 0.0 1
user624 0.0 0.0 1.0 0.0 4
user627 0.0 0.0 1.0 0.0 1
user629 0.0 0.0 1.0 0.0 4
user590 0.0 0.0 1.0 0.0 1
user630 0.0 0.0 1.0 0.0 2
user631 0.0 0.0 1.0 0.0 1
user632 0.0 0.0 1.0 0.0 1
user633 0.0 0.0 1.0 0.0 1
user634 0.0 0.0 1.0 0.0 1
