user cancelAuction bid createAuction session_count
user286 0.0 0.0 1.0 1
user287 1.0 0.0 1.0 6
user295 0.0 1.0 1.0 3
user288 1.0 0.0 1.0 4
user290 1.0 0.0 1.0 2
user292 0.0 0.0 1.0 1
user294 0.0 0.0 1.0 1
user302 0.0 1.0 0.0 1
user296 0.0 0.0 1.0 2
user297 1.0 0.0 1.0 4
user299 0.0 1.0 0.0 1
user298 1.0 0.0 1.0 1
user301 0.0 1.0 1.0 1
user409 0.0 1.0 0.0 1
user300 1.0 0.0 1.0 1
user356 0.0 1.0 1.0 4
user325 1.0 1.0 1.0 49
user303 1.0 0.0 1.0 3
user304 1.0 0.0 1.0 1
user305 1.0 0.0 1.0 1
user306 0.0 0.0 1.0 1
user307 1.0 0.0 1.0 1
user424 0.0 1.0 0.0 14
user314 1.0 1.0 1.0 4
user311 1.0 0.0 1.0 1
user312 1.0 0.0 1.0 1
user354 1.0 1.0 1.0 4
user315 0.0 0.0 1.0 2
user316 0.0 0.0 1.0 2
user359 0.0 1.0 0.0 1
user633 0.0 1.0 0.0 1
user322 0.0 1.0 0.0 1
user352 0.0 1.0 0.0 2
user401 0.0 1.0 0.0 19
user320 0.0 0.0 1.0 5
user321 1.0 0.0 1.0 1
user328 1.0 1.0 1.0 24
user323 1.0 0.0 1.0 2
user324 1.0 0.0 1.0 1
user326 0.0 0.0 1.0 1
user372 1.0 0.0 1.0 6
user336 0.0 1.0 0.0 1
user470 0.0 1.0 0.0 3
user441 0.0 1.0 0.0 10
user485 0.0 1.0 0.0 5
user509 0.0 1.0 0.0 1
user330 0.0 0.0 1.0 7
user310 1.0 0.0 1.0 19
user331 1.0 0.0 1.0 7
user332 0.0 0.0 1.0 1
user333 1.0 0.0 1.0 5
user426 0.0 0.0 1.0 1
user335 0.0 0.0 1.0 1
user337 1.0 0.0 1.0 7
user327 1.0 0.0 1.0 4
user653 0.0 1.0 0.0 1
user338 1.0 0.0 1.0 1
user339 1.0 0.0 1.0 7
user340 1.0 0.0 1.0 2
user341 1.0 0.0 1.0 2
user342 0.0 0.0 1.0 3
user344 1.0 0.0 1.0 1
user345 1.0 0.0 1.0 12
user346 1.0 0.0 1.0 1
user347 1.0 0.0 1.0 1
user348 0.0 0.0 1.0 2
user349 0.0 0.0 1.0 2
user363 0.0 1.0 0.0 1
user350 1.0 0.0 1.0 1
user353 0.0 0.0 1.0 1
user628 0.0 1.0 0.0 2
user365 0.0 1.0 0.0 3
user358 1.0 0.0 1.0 1
user360 0.0 0.0 1.0 2
user504 0.0 1.0 0.0 1
user362 0.0 0.0 1.0 2
user638 0.0 1.0 0.0 1
user364 0.0 0.0 1.0 1
user675 0.0 1.0 0.0 1
user366 0.0 0.0 1.0 1
user367 0.0 0.0 1.0 1
user368 1.0 0.0 1.0 1
user369 1.0 1.0 1.0 2
user371 1.0 0.0 1.0 5
user214 1.0 0.0 1.0 1
user451 1.0 0.0 1.0 2
